baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
KCNK2	35.4285002075384	-1.85238101121328	0.328340933441806	-5.6416389872437	1.68438988893368e-08	6.47840915303108e-06
NKAIN1	37.6429293373088	-1.32152777465816	0.319647320799046	-4.13433083485462	3.5599035442245e-05	0.00260798251117859
APOB	39.572728505759	-1.3736466453468	0.325673317324953	-4.21786671573154	2.46624519795863e-05	0.0019903269168204
GCKR	39.4529685527387	-1.09496683375059	0.285410411044005	-3.83646423319072	0.000124818364511325	0.00630460803399679
FAT2	228.479765956277	-1.37522897913689	0.306832902311872	-4.48201274627019	7.39423260940691e-06	0.000822341116376902
HSD17B2	172.343073947859	-1.32963503023275	0.32504730152361	-4.0905893511507	4.30278400797831e-05	0.00294752678899041
SLC15A1	170.981541271651	-1.70419398884316	0.344264020308761	-4.95025296955142	7.41170795685235e-07	0.000132204102845826
LHX5	18.3591169312249	-1.51807678064021	0.459892301310157	-3.30093975549375	0.000963615713001472	0.0235470436605912
CHGB	396.515311163785	-1.80059206931899	0.388251362613646	-4.63769671585359	3.52313240258974e-06	0.000450119784431907
GABRP	253.737335696103	-1.78834571260688	0.330364099989111	-5.41325680564512	6.18886305974274e-08	1.78524524027251e-05
CYP26A1	13.1041044644543	-1.13708034337172	0.382578874224203	-2.97214618992621	0.00295725836774437	0.0458977934897963
SMIM24	67.2668481822943	-1.30542198279929	0.328721232106053	-3.97121285545112	7.15076527885002e-05	0.00419111070793071
CRISP3	38.9672076102745	-1.39268031242396	0.433287993355674	-3.2142139495676	0.0013080217086283	0.027981200889177
HCN2	72.5730251313416	-1.16533843769926	0.236820435002819	-4.92076808188193	8.62052322490666e-07	0.000148736251884686
CDHR5	60.6194850187382	-2.20056689811964	0.330815922983736	-6.65193766452356	2.89259219343839e-11	2.67007953895814e-08
SEZ6L	26.4119100528144	-1.18351477520817	0.303174775466166	-3.90373761599518	9.4718466493117e-05	0.00512799111191401
NEFH	286.08059969514	-1.42368522051128	0.320757096643418	-4.43851511130859	9.05816258123425e-06	0.000934230550242771
CCDC198	67.7214907373611	-1.78569681559904	0.452943351084492	-3.94242858698225	8.06606713356758e-05	0.00457486016547951
ISM2	10.4732375135117	-1.73442549432149	0.361824605148516	-4.7935532013075	1.63852980698678e-06	0.000240753409042861
CHGA	57.4204293320435	-1.69489025791986	0.40460123163266	-4.1890388002048	2.80138503946922e-05	0.00218679788186727
SERPINA4	70.0908062739968	-3.53277939244021	0.522479991599433	-6.7615591969858	1.365145163091e-11	1.48250749578849e-08
HNF4A	248.889822684855	-2.54074245904778	0.399448101853594	-6.36063220042291	2.00925038592064e-10	1.25624583826536e-07
NTSR1	29.5432820453158	-2.50408815188813	0.380095651998595	-6.58804734734872	4.45648545623198e-11	3.82667005815008e-08
NKAIN4	62.2223600058967	-1.40251825058552	0.296398748875196	-4.73186292421252	2.22468630159645e-06	0.000305360937969687
COL20A1	3.04149456823947	-1.59329827923111	0.368696999263648	-4.32143001546853	1.55021222406089e-05	0.00140981492485223
VSIG1	1957.81735578275	-1.53549563590428	0.362154692829662	-4.23988882735945	2.23630513787842e-05	0.00184936990807431
OLFM4	84.5285342489885	-2.7553246830192	0.441176379602406	-6.24540390286156	4.22706356692612e-10	2.40116720125559e-07
CBLN1	13.3138697930833	-1.43008556322053	0.321782455999305	-4.44426206761135	8.8194049243705e-06	0.000927540376232446
SALL1	65.4916676317892	-2.17380429761367	0.482214862927452	-4.50795789332755	6.54545614850145e-06	0.000746583129066905
AP3B2	100.369734492589	-1.01809951821635	0.270998371559906	-3.75684736537722	0.000172067372042815	0.00784351059004549
SCG3	60.1761167095779	-1.20449977350448	0.331501898863611	-3.63346266683089	0.000279642924827791	0.0107554747014756
RHOV	1369.06072944089	-1.14521811354124	0.279856076468437	-4.09216811724437	4.27358632482196e-05	0.00293842882442088
DKK4	8.82789955897864	-2.44575213523665	0.550697782448598	-4.4411875500242	8.94637770384904e-06	0.00092788512348095
ANXA13	35.3684477195081	-1.78868660029908	0.346547261506829	-5.16145068502823	2.45043446945622e-07	5.65483699473325e-05
NEFM	11.9048856490524	-1.36971981655405	0.388519447029399	-3.52548585927129	0.000422706743582612	0.0139478115221633
SLC1A6	3.83244962325841	-1.51630304058059	0.387161608984258	-3.91646022072979	8.98586346895652e-05	0.00492994111239646
ZFR2	72.3468329405657	-2.05142568973936	0.372748912672407	-5.50350549658685	3.72312916939247e-08	1.21245480885514e-05
SLC5A5	154.448220533359	-1.14468631945026	0.357303714408148	-3.20367875645055	0.00135683779766895	0.028676887237167
UPK1A	8.83937465222616	-1.5417985225755	0.364839959976518	-4.22595847964332	2.37925862573536e-05	0.00193500806691689
